Suspension descriptor,Number of suspensions
Aggressive behaviour,"17,478"
Assault,253
Bullying,330
Cyber bullying,165
Misuse of technology,"1,153"
"Other – continuing, persistent behaviour posing unacceptable 
risk to another person's learning and/or wellbeing","13,646"
"Other – destruction of property that poses unacceptable risk 
to health and safety","1,136"
Physical violence,"3,065"
"Possession, supply or use of a suspected drug or 
illegal substance","1,863"
Psychological abuse,128
Racism or discrimination,211
Serious behaviours of concern – pending expulsion decision,117
Serious criminal behaviour related to the school,687
Use of implement as a weapon,147
"Use or possession of a prohibited weapon, firearm or knife",663
Verbal abuse,"2,082"
